,0,1,2,3,4,5,6,7,8,9
s1,s4878,s1067,s7507,s5048,s5234,s5495,s2675,s4242,s2761,s6328
s2,s5345,s1885,s4286,s4272,s4210,s614,s109,s6290,s1906,s5486
s3,s425,s5114,s6593,s5306,s3452,s712,s1906,s4032,s3977,s7464
s4,s2133,s8465,s4710,s8467,s1392,s1466,s7475,s2346,s3838,s617
s5,s2273,s267,s2092,s4077,s806,s2691,s8233,s8613,s2363,s8147
s6,s7258,s1907,s3075,s2972,s4269,s7026,s2027,s8248,s2324,s3353
s7,s5238,s4365,s4589,s1779,s7111,s526,s556,s5486,s7530,s235
s8,s8354,s5581,s5654,s3620,s2825,s4057,s5045,s7701,s7905,s8065
s9,s4462,s1523,s3378,s1441,s4090,s4605,s734,s6458,s2828,s3379
s10,s7534,s2515,s1900,s3855,s3123,s1558,s2503,s6689,s4721,s2124
s11,s7203,s3905,s3788,s4500,s167,s2112,s8232,s5297,s2330,s2210
s12,s4714,s1340,s6968,s3866,s3870,s3305,s7831,s6712,s7320,s4744
s13,s3588,s8241,s5717,s5575,s1803,s5224,s6517,s6531,s3024,s7281
s14,s3192,s5329,s4105,s5051,s5283,s8131,s3326,s3411,s2100,s3040
s15,s7569,s6150,s1292,s8759,s7147,s6363,s1639,s4549,s4069,s5055
s16,s8755,s4632,s6981,s6085,s1044,s5066,s4390,s4603,s8712,s3439
s17,s7274,s20,s1538,s6313,s3569,s3570,s7030,s2768,s6283,s7267
s18,s1926,s1051,s503,s4027,s3168,s3626,s4077,s5627,s6081,s6288
s19,s308,s1118,s2706,s2980,s8014,s4709,s6288,s1810,s5208,s8212
s20,s1706,s6590,s5959,s3632,s4523,s5966,s17,s6967,s3344,s7336
s21,s1542,s4023,s8002,s316,s309,s4596,s3074,s8504,s440,s3582
s22,s7130,s7246,s1306,s2958,s7207,s2374,s1476,s8122,s1391,s6088
s23,s6791,s6900,s490,s4017,s6638,s8226,s2415,s2490,s2547,s3658
s24,s2580,s255,s1893,s8597,s35,s5036,s7458,s6250,s5389,s523
s25,s3422,s124,s3198,s3651,s5538,s2909,s4576,s2134,s2074,s181
s26,s6667,s5680,s478,s2417,s398,s4840,s6628,s773,s8654,s5402
s27,s7321,s7834,s4585,s4691,s8510,s4282,s439,s1851,s5483,s7312
s28,s2675,s5688,s4120,s155,s2644,s3277,s296,s2106,s1101,s6946
s29,s2514,s507,s8090,s3959,s1191,s4752,s7479,s7832,s7218,s8692
s30,s2883,s1946,s3466,s6717,s2453,s898,s1920,s3763,s7421,s2638
s31,s2943,s4738,s8381,s4098,s6953,s7738,s6287,s7049,s3550,s6959
s32,s3561,s426,s7797,s3167,s3709,s5534,s983,s8800,s1019,s6754
s34,s1012,s1441,s1243,s5904,s1616,s2915,s835,s4790,s5412,s2828
s35,s105,s1552,s8670,s8785,s24,s8163,s938,s3344,s2108,s1006
s36,s8687,s7804,s2273,s4861,s4175,s1259,s8660,s4343,s4682,s1763
s37,s3091,s2728,s3994,s8698,s1143,s2630,s4984,s552,s8446,s8489
s38,s1170,s8191,s338,s6405,s2216,s8425,s584,s8580,s2226,s734
s39,s424,s8304,s3488,s6702,s5387,s7391,s2221,s7348,s5858,s6615
s40,s105,s8785,s2293,s3989,s418,s1351,s90,s878,s2194,s5430
s41,s5808,s3523,s1004,s1107,s2357,s7829,s6772,s2385,s2861,s4771
s42,s45,s43,s44,s5456,s7062,s8116,s5785,s3512,s1408,s7492
s43,s45,s42,s44,s4440,s92,s8668,s8653,s5576,s8584,s1433
s44,s45,s6799,s42,s43,s3056,s8624,s8708,s5225,s3473,s5576
s45,s43,s42,s44,s7062,s8060,s8116,s5785,s3512,s1408,s3538
s46,s8042,s2940,s3373,s1248,s8305,s1279,s2121,s2291,s1892,s2855
s47,s4598,s956,s1998,s6922,s229,s4830,s4496,s6135,s7268,s4094
s48,s3856,s6842,s3973,s6719,s4870,s2509,s6216,s6418,s294,s7944
s49,s7336,s4334,s1640,s6164,s7673,s1258,s6655,s4934,s7913,s6952
s50,s5596,s5243,s5606,s794,s5217,s732,s535,s2728,s7096,s5544
s51,s5678,s3001,s6158,s5131,s1123,s8335,s1351,s6174,s6550,s6778
s52,s7091,s8785,s2115,s4771,s2960,s2192,s7299,s6041,s7159,s7666
s53,s7090,s55,s1123,s4745,s3422,s2893,s582,s2527,s2920,s95
s54,s7089,s5673,s3958,s7184,s2801,s8685,s55,s753,s764,s2798
s55,s53,s7090,s1984,s1537,s582,s628,s8628,s4244,s1482,s417
s56,s3378,s1441,s6691,s2890,s354,s2449,s2828,s1998,s2298,s7300
s57,s7560,s3542,s60,s58,s63,s3793,s1351,s5545,s8625,s55
s58,s60,s62,s64,s3542,s57,s7560,s8161,s5399,s63,s61
s59,s4426,s6167,s4652,s5893,s3282,s2550,s938,s191,s7549,s99
s60,s58,s3542,s64,s2519,s57,s7560,s5302,s63,s55,s3169
s61,s5950,s2406,s8700,s1644,s8485,s5917,s62,s58,s7030,s3081
s62,s58,s406,s61,s1354,s3265,s702,s7271,s5093,s4598,s632
s63,s64,s3542,s60,s58,s3807,s57,s7560,s1828,s7796,s1425
s64,s58,s63,s60,s591,s2345,s388,s6503,s6534,s6056,s2313
s65,s3742,s6647,s6462,s2583,s6582,s3409,s7215,s2997,s1365,s4617
s66,s5839,s3481,s3452,s3862,s7314,s313,s2935,s4857,s5021,s3876
s67,s5315,s7943,s1668,s4726,s4522,s4152,s4956,s2075,s5473,s5800
s68,s1548,s4442,s7267,s107,s763,s3986,s1272,s2548,s3468,s5157
s69,s7011,s4173,s7037,s6454,s2633,s97,s7013,s3245,s6608,s4301
s70,s1100,s7846,s2489,s3687,s1699,s3262,s8440,s1147,s6067,s7232
s72,s103,s5651,s5497,s510,s2663,s2156,s2250,s869,s7329,s3604
s73,s3158,s1264,s2222,s1768,s5205,s1861,s2001,s2192,s7715,s3190
s74,s4317,s3164,s4381,s4258,s3525,s8201,s8799,s5406,s4189,s5080
s75,s1095,s6369,s2785,s1314,s4697,s6273,s4409,s1869,s7901,s6291
s76,s1097,s3932,s5957,s940,s2829,s4986,s1305,s7282,s6223,s6291
s77,s832,s944,s1523,s769,s4718,s5591,s6036,s3665,s6771,s2564
s78,s2115,s7318,s3391,s2293,s7320,s7319,s1077,s1010,s582,s862
s79,s80,s7469,s7367,s7864,s3487,s3103,s167,s1339,s2873,s4003
s80,s79,s7469,s7367,s7864,s3487,s3103,s167,s1339,s2873,s4003
s81,s280,s1340,s3006,s2209,s1169,s4471,s8061,s2011,s1810,s7263
s82,s6004,s917,s8750,s3746,s6578,s7198,s803,s4046,s4171,s7584
s83,s1253,s930,s5494,s1613,s1825,s7868,s6124,s8684,s6265,s6916
s84,s1755,s367,s343,s6072,s3378,s8031,s2828,s909,s3283,s1616
s85,s7580,s1866,s7593,s4281,s4457,s2191,s3788,s5052,s3091,s1973
s86,s5099,s1236,s4224,s2740,s2877,s4290,s3070,s3020,s4178,s2004
s87,s985,s5043,s5506,s3784,s6118,s6957,s4269,s2289,s7844,s3546
s88,s8613,s5036,s7927,s215,s4823,s8335,s4290,s217,s7193,s8526
s89,s8225,s6961,s7426,s2061,s741,s2945,s362,s4415,s3848,s2605
s90,s7377,s4914,s40,s164,s5248,s752,s1351,s2038,s989,s7551
s91,s5368,s158,s7809,s4997,s4137,s3906,s7701,s4056,s5878,s1908
s92,s5104,s4440,s1542,s7214,s1858,s43,s524,s1140,s2335,s2336
s93,s5683,s1403,s2851,s397,s2382,s4211,s3754,s8526,s2819,s7618
s94,s6894,s116,s1810,s7139,s7043,s5016,s2278,s8376,s371,s6454
s95,s2893,s5242,s3813,s1275,s6634,s6587,s6512,s3961,s406,s4978
s96,s2700,s2828,s1616,s2921,s440,s8337,s2306,s2145,s1774,s1698
s97,s5907,s2633,s6454,s69,s7011,s7013,s6608,s1905,s7037,s2385
s98,s1075,s629,s3465,s2383,s5564,s3533,s2581,s2412,s2963,s2948
s99,s4828,s6762,s2176,s2132,s8215,s692,s7892,s7302,s7580,s938
s100,s4213,s3851,s2821,s5773,s6000,s2008,s1466,s3889,s8565,s1432
s101,s8601,s4408,s5048,s5459,s1180,s6168,s5458,s7030,s938,s3086
s102,s2628,s3076,s8699,s7592,s3185,s4888,s3562,s7178,s4741,s763
s103,s72,s5651,s7619,s6476,s6529,s2171,s5999,s2404,s6672,s99
s104,s2616,s113,s1698,s668,s8668,s254,s7728,s4842,s2605,s8084
s105,s8785,s40,s35,s5273,s781,s1232,s1816,s2415,s4893,s3630
s106,s7549,s5255,s1600,s6534,s4524,s622,s1657,s1146,s2210,s1229
s107,s6235,s68,s480,s6791,s5090,s3515,s2138,s3799,s7146,s5529
s108,s4385,s2381,s1355,s4523,s5966,s247,s2100,s8700,s2229,s3200
s109,s7408,s2,s4130,s8684,s3841,s1259,s4102,s8751,s1803,s2730
s110,s7978,s5643,s4997,s8670,s7746,s7783,s3135,s5847,s7717,s3079
s111,s2712,s2581,s267,s1146,s4615,s1459,s6705,s1563,s901,s2651
s112,s764,s753,s2798,s1474,s6221,s8685,s6222,s5321,s2173,s5710
s113,s6541,s2891,s2060,s182,s1705,s4596,s104,s5647,s5945,s5678
s114,s5700,s6625,s8357,s2283,s6755,s4023,s3036,s2625,s5022,s3980
s115,s3358,s7666,s560,s7114,s7257,s7060,s5291,s1781,s4596,s3914
s116,s7811,s94,s7174,s5514,s799,s8200,s2582,s6518,s5356,s5701
s117,s3377,s2512,s4107,s7838,s4412,s6622,s6654,s6574,s5411,s1448
s118,s7274,s7706,s2836,s3872,s4306,s7201,s1813,s868,s5613,s7076
s119,s1319,s5501,s1748,s6481,s3344,s4028,s5594,s439,s4488,s3232
s120,s6762,s7084,s974,s3271,s3467,s2700,s5129,s1877,s4914,s4683
s121,s937,s378,s133,s2406,s589,s3063,s2796,s4512,s1036,s2155
s122,s4565,s8316,s3723,s518,s5403,s8270,s972,s5890,s8788,s2628
s123,s403,s4680,s2288,s3308,s8245,s7100,s1803,s7144,s5515,s620
s124,s25,s6298,s3422,s5844,s289,s2226,s2157,s7512,s2081,s8582
s125,s7596,s7597,s7393,s2968,s8597,s1752,s6259,s2584,s2927,s5868
s127,s1562,s5901,s5617,s3348,s695,s1722,s3515,s357,s8156,s2259
s128,s4422,s2451,s5626,s748,s4611,s3056,s2281,s4423,s2179,s1900
s129,s7167,s7683,s7007,s1489,s5588,s7403,s1321,s4186,s1067,s1847
s130,s5547,s818,s703,s3983,s4919,s6596,s7691,s6337,s5287,s4042
s131,s6239,s6235,s5393,s2786,s5270,s3723,s2062,s8785,s6242,s4115
s132,s7868,s1232,s2010,s316,s138,s7579,s3738,s3123,s5995,s5945
s133,s2406,s2801,s7218,s4139,s7865,s6110,s4787,s1892,s7057,s3015
s134,s6128,s6069,s4777,s5999,s8026,s6717,s4823,s543,s1958,s6809
s135,s6673,s609,s7268,s4679,s7715,s7674,s3976,s2922,s3042,s7464
s136,s4372,s7776,s8222,s8526,s8457,s6723,s6236,s2531,s8033,s8360
s137,s2229,s7538,s2465,s5892,s6956,s1252,s2567,s3084,s1729,s7752
s138,s1232,s526,s4787,s1602,s7868,s2010,s818,s7579,s3693,s3123
s139,s3867,s5154,s1238,s8637,s3743,s5599,s7953,s8466,s2217,s7807
s140,s743,s5443,s5515,s6403,s6085,s8009,s929,s8676,s1731,s4468
s141,s2722,s674,s435,s5552,s4888,s6982,s3355,s1251,s191,s4465
s142,s6087,s1634,s7064,s2242,s6512,s7329,s1765,s8687,s374,s4581
s143,s2305,s5923,s7471,s7866,s330,s3994,s1580,s2492,s8203,s6000
s144,s5683,s1180,s1351,s8589,s942,s6114,s2191,s29,s6201,s1191
s145,s4869,s146,s7729,s200,s3373,s2735,s147,s6001,s4761,s3322
s146,s147,s7320,s7211,s78,s145,s4392,s3920,s7841,s629,s8073
s147,s3065,s899,s3150,s1110,s7251,s146,s797,s1217,s2115,s6389
s148,s2573,s6387,s1402,s1622,s6153,s2944,s6426,s4623,s8088,s1071
s149,s7005,s496,s633,s4949,s2772,s4533,s6264,s3361,s4215,s8464
s150,s6658,s7739,s5813,s3056,s4417,s6417,s905,s7570,s4295,s4384
s151,s347,s3478,s7336,s6497,s4361,s5513,s688,s1770,s2982,s6742
s152,s3792,s3942,s4260,s1015,s8642,s7599,s2979,s1149,s629,s2512
s153,s4976,s3592,s5656,s5560,s5895,s2661,s3655,s2744,s4509,s6907
s154,s1893,s1953,s235,s1441,s6302,s7317,s1597,s2858,s8008,s8647
s155,s28,s8755,s3315,s6511,s3277,s2106,s5382,s7495,s1444,s306
s156,s3518,s5567,s3075,s8688,s4714,s5942,s7532,s8442,s8075,s6163
s157,s2597,s2446,s8132,s271,s7701,s3115,s2124,s1899,s6244,s5030
s158,s4446,s3467,s3312,s91,s7355,s2104,s4964,s8213,s3041,s4952
s159,s6495,s705,s386,s4771,s460,s4658,s6922,s334,s3317,s2504
s160,s7346,s6657,s5071,s7262,s8201,s8712,s7641,s3879,s7433,s4343
s161,s8708,s4179,s4528,s4128,s6698,s5622,s3726,s909,s5958,s8359
s162,s3959,s3459,s6433,s7353,s8352,s8420,s6814,s1495,s5092,s344
s163,s1634,s1690,s8450,s6074,s2724,s2722,s5596,s5111,s191,s1286
s164,s6104,s1796,s1856,s8108,s2638,s7746,s7579,s7704,s90,s3047
s165,s658,s8054,s5870,s381,s8166,s8701,s1155,s1488,s2293,s7647
s166,s7596,s7134,s3146,s617,s8013,s4973,s229,s6727,s2945,s7721
s167,s3788,s8232,s7203,s7864,s6881,s79,s80,s2330,s6504,s2210
s168,s2261,s2911,s7292,s1006,s4060,s1366,s7949,s3977,s1475,s3770
s169,s5514,s7540,s4412,s328,s8159,s1319,s2926,s4881,s4907,s7811
s170,s5008,s3560,s2382,s7282,s5773,s5094,s1347,s8589,s4686,s5982
s172,s4382,s2755,s6996,s1690,s6372,s744,s6975,s4846,s5509,s258
s173,s8012,s616,s5172,s3655,s620,s1560,s2118,s5897,s6617,s4078
s174,s3573,s4294,s5656,s3403,s1510,s2144,s5838,s605,s7527,s1661
s175,s6149,s3936,s615,s8152,s6471,s7964,s5950,s3224,s1470,s7584
s176,s3103,s3550,s5550,s2128,s1705,s8094,s8152,s4511,s5650,s2079
s177,s5065,s1448,s7312,s3616,s2624,s7768,s6062,s1617,s7243,s6936
s178,s6550,s1773,s8292,s3970,s8668,s3295,s7824,s787,s1139,s664
s179,s4939,s8408,s7042,s999,s1451,s2979,s3907,s7268,s5820,s4836
s180,s991,s6839,s4892,s7545,s2625,s8521,s6414,s6976,s3964,s2506
s181,s3373,s5213,s25,s1683,s3777,s7032,s4913,s6281,s5531,s2639
s182,s8504,s447,s4477,s113,s1057,s4598,s4940,s6531,s278,s8751
s183,s8720,s5696,s8757,s2450,s3514,s1031,s354,s2545,s6479,s4961
s184,s3870,s2708,s5504,s1634,s5953,s7974,s7443,s3598,s2088,s8101
s185,s4228,s1147,s2199,s6981,s755,s7436,s5473,s4906,s8552,s4409
s186,s5019,s6210,s6959,s750,s1918,s3785,s4881,s3406,s2468,s5514
s187,s5399,s6312,s6166,s6225,s1712,s5410,s8726,s3468,s6667,s1493
s188,s1210,s8393,s2322,s7733,s1388,s1486,s5144,s8010,s6666,s6421
s189,s2861,s330,s4475,s7578,s2070,s1495,s8455,s5334,s8570,s3598
s190,s8788,s197,s696,s7678,s1441,s6762,s4228,s843,s3304,s721
s191,s870,s1282,s2722,s4575,s5065,s3137,s4692,s2697,s19,s6297
s192,s5119,s6572,s1981,s6320,s3870,s1634,s130,s2708,s514,s5166
s193,s5782,s4317,s2267,s7884,s536,s6173,s6513,s7652,s4922,s248
s194,s4838,s8672,s5504,s4831,s1910,s868,s4099,s6736,s4125,s6158
s195,s299,s558,s7400,s4168,s4414,s2620,s6591,s630,s4025,s2915
